[mouse] null (code=0, x=680, y=252, time=1762952991574)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762952991573)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762952991573)
[mouse] null (code=0, x=593, y=252, time=1762952993415)
[mouse] null (code=0, x=574, y=247, time=1762953001441)
[mouse] null (code=0, x=601, y=148, time=1762953008223)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762953008780)
[mouse] null (code=0, x=122, y=13, time=1762953008781)
[key]   (code=32, x=0, y=0, time=1762953009550)
[key]   (code=32, x=0, y=0, time=1762953010344)
[key] a (code=97, x=0, y=0, time=1762953010833)
[key] s (code=115, x=0, y=0, time=1762953011248)
[key] d (code=100, x=0, y=0, time=1762953011471)
[key] a (code=97, x=0, y=0, time=1762953011698)
[mouse] null (code=0, x=122, y=13, time=1762953012147)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762953014680)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762953017482)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762953017499)
[mouse] null (code=0, x=199, y=94, time=1762953017512)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762953018325)
[mouse] null (code=0, x=199, y=94, time=1762953018326)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762953018325)
[mouse] null (code=0, x=163, y=76, time=1762953019059)
[mouse] null (code=0, x=163, y=76, time=1762953019825)
[key] q (code=113, x=0, y=0, time=1762953023399)
[key] w (code=119, x=0, y=0, time=1762953024239)
[key] e (code=101, x=0, y=0, time=1762953024609)
[key] r (code=114, x=0, y=0, time=1762953026582)
[mouse] null (code=0, x=163, y=76, time=1762953027130)
[key] CTRL (code=262144, x=0, y=0, time=1762953028246)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762953034891)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762953056678)
[mouse] null (code=0, x=524, y=252, time=1762953056700)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762953056692)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762953057336)
[mouse] null (code=0, x=708, y=264, time=1762953057336)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762953057335)
[mouse] null (code=0, x=395, y=266, time=1762953058337)
[mouse] null (code=0, x=17, y=71, time=1762953058795)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762953058794)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762953059175)
[mouse] null (code=0, x=216, y=253, time=1762953059177)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762953062283)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762954782882)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762954783125)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762954783126)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762954783704)
