[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision_frame] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[vision] VISION_ENCERRADO (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[heartbeat] null (code=0, x=0, y=0, time=0, student=00, exam=0000)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=00, exam=0000)
