[mouse] MOUSE_DOWN (code=0, x=523, y=184, time=1763078931078, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078931074, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=503, y=169, time=1763078931817, student=quero quero, exam=115)
[keyboard]   (code=32, x=0, y=0, time=1763078932302, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078933375, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078933380, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078933594, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078933876, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078933926, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078933944, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078933948, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078934035, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078934243, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078934389, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078934468, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078934480, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078934512, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078934588, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078934665, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078934717, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078934875, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078934888, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078934911, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078934970, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078935013, student=quero quero, exam=115)
[keyboard]   (code=32, x=0, y=0, time=1763078935133, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078935274, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763078935286, student=quero quero, exam=115)
[keyboard] w (code=119, x=0, y=0, time=1763078935314, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078935330, student=quero quero, exam=115)
[keyboard] e (code=101, x=0, y=0, time=1763078935379, student=quero quero, exam=115)
[keyboard]   (code=32, x=0, y=0, time=1763078935511, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078935582, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078935615, student=quero quero, exam=115)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763078935848, student=quero quero, exam=115)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763078936362, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763078937088, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078938086, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078938343, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078938676, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078938681, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078938844, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078939270, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078939750, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078940211, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078940706, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078941397, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078941396, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078941916, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078942497, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078942500, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078943029, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078943398, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078943792, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078944117, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078944449, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078944772, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078944778, student=quero quero, exam=115)
[keyboard] TAB (code=9, x=0, y=0, time=1763078944879, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078945167, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078945590, student=quero quero, exam=115)
[keyboard] TAB (code=9, x=0, y=0, time=1763078945917, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078946340, student=quero quero, exam=115)
[keyboard] TAB (code=9, x=0, y=0, time=1763078946721, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078947947, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078948311, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078948791, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078949230, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078949232, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078949359, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078949874, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078950254, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078950256, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078950730, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078951225, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078951633, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=233, y=6, time=1763078951864, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078952093, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078952729, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=155, y=4, time=1763078952731, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078952958, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078953170, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=110, y=10, time=1763078953173, student=quero quero, exam=115)
[keyboard]   (code=32, x=0, y=0, time=1763078953332, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078953426, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078953731, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078954213, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078954627, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078957266, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078957279, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078957283, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078957282, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078957500, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=519, y=188, time=1763078957502, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=519, y=188, time=1763078957544, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=394, y=135, time=1763078957900, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=394, y=135, time=1763078957902, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763078958307, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=61, y=6, time=1763078958309, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078958777, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078959146, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=40, y=76, time=1763078959148, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=40, y=76, time=1763078959285, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078959597, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=204, y=283, time=1763078959600, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=199, y=285, time=1763078959698, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078959867, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763078960119, student=quero quero, exam=115)
