[focus] null (code=0, x=0, y=0, time=1762985667749, student=123, exam=123)
[mouse] null (code=0, x=545, y=229, time=1762985667316, student=123, exam=123)
[mouse] null (code=0, x=364, y=260, time=1762985667750, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985667308, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985667747, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985667282, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985669500, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985670107, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985670621, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985671059, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985671485, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985672067, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985672913, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985673574, student=123, exam=123)
[keyboard] null (code=32, x=0, y=0, time=1762985674255, student=123, exam=123)
[mouse] null (code=0, x=305, y=263, time=1762985674979, student=123, exam=123)
[keyboard] null (code=97, x=0, y=0, time=1762985675248, student=123, exam=123)
[keyboard] null (code=113, x=0, y=0, time=1762985675470, student=123, exam=123)
[keyboard] null (code=119, x=0, y=0, time=1762985675741, student=123, exam=123)
[keyboard] null (code=101, x=0, y=0, time=1762985675948, student=123, exam=123)
[keyboard] null (code=16777298, x=0, y=0, time=1762985676430, student=123, exam=123)
[keyboard] null (code=97, x=0, y=0, time=1762985676649, student=123, exam=123)
[keyboard] null (code=115, x=0, y=0, time=1762985676858, student=123, exam=123)
[keyboard] null (code=16777298, x=0, y=0, time=1762985677920, student=123, exam=123)
[keyboard] null (code=16777298, x=0, y=0, time=1762985678393, student=123, exam=123)
[keyboard] null (code=16777298, x=0, y=0, time=1762985679332, student=123, exam=123)
[keyboard] null (code=99, x=0, y=0, time=1762985681648, student=123, exam=123)
[keyboard] null (code=118, x=0, y=0, time=1762985681903, student=123, exam=123)
[keyboard] null (code=98, x=0, y=0, time=1762985682164, student=123, exam=123)
[keyboard] null (code=110, x=0, y=0, time=1762985682420, student=123, exam=123)
[keyboard] null (code=16777298, x=0, y=0, time=1762985683450, student=123, exam=123)
[keyboard] null (code=122, x=0, y=0, time=1762985683862, student=123, exam=123)
[keyboard] null (code=120, x=0, y=0, time=1762985684120, student=123, exam=123)
[keyboard] null (code=99, x=0, y=0, time=1762985684401, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985684879, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985685525, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985687202, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985687762, student=123, exam=123)
[keyboard] null (code=99, x=0, y=0, time=1762985688506, student=123, exam=123)
[keyboard] null (code=99, x=0, y=0, time=1762985688682, student=123, exam=123)
[keyboard] null (code=118, x=0, y=0, time=1762985688934, student=123, exam=123)
[keyboard] null (code=118, x=0, y=0, time=1762985689150, student=123, exam=123)
[keyboard] null (code=98, x=0, y=0, time=1762985689355, student=123, exam=123)
[keyboard] null (code=98, x=0, y=0, time=1762985689597, student=123, exam=123)
[keyboard] null (code=103, x=0, y=0, time=1762985690086, student=123, exam=123)
[keyboard] null (code=116, x=0, y=0, time=1762985690324, student=123, exam=123)
[keyboard] null (code=52, x=0, y=0, time=1762985691145, student=123, exam=123)
[keyboard] null (code=53, x=0, y=0, time=1762985691512, student=123, exam=123)
[keyboard] null (code=54, x=0, y=0, time=1762985691812, student=123, exam=123)
[keyboard] null (code=54, x=0, y=0, time=1762985691995, student=123, exam=123)
[keyboard] null (code=55, x=0, y=0, time=1762985692272, student=123, exam=123)
[keyboard] null (code=49, x=0, y=0, time=1762985693245, student=123, exam=123)
[keyboard] null (code=51, x=0, y=0, time=1762985693597, student=123, exam=123)
[keyboard] null (code=53, x=0, y=0, time=1762985694037, student=123, exam=123)
[keyboard] null (code=54, x=0, y=0, time=1762985694306, student=123, exam=123)
[keyboard] null (code=55, x=0, y=0, time=1762985694496, student=123, exam=123)
[keyboard] null (code=117, x=0, y=0, time=1762985694643, student=123, exam=123)
[keyboard] null (code=106, x=0, y=0, time=1762985694789, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985704501, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985704503, student=123, exam=123)
[mouse] null (code=0, x=368, y=245, time=1762985704505, student=123, exam=123)
[keyboard] null (code=16777264, x=0, y=0, time=1762985705549, student=123, exam=123)
[keyboard] null (code=16777265, x=0, y=0, time=1762985706084, student=123, exam=123)
[keyboard] null (code=16777266, x=0, y=0, time=1762985706464, student=123, exam=123)
[keyboard] null (code=16777267, x=0, y=0, time=1762985706665, student=123, exam=123)
[keyboard] null (code=16777268, x=0, y=0, time=1762985706920, student=123, exam=123)
[keyboard] null (code=16777269, x=0, y=0, time=1762985707105, student=123, exam=123)
[keyboard] null (code=16777270, x=0, y=0, time=1762985707336, student=123, exam=123)
[keyboard] null (code=16777272, x=0, y=0, time=1762985707717, student=123, exam=123)
[keyboard] null (code=16777271, x=0, y=0, time=1762985707887, student=123, exam=123)
[keyboard] null (code=16777273, x=0, y=0, time=1762985708300, student=123, exam=123)
[keyboard] null (code=16777264, x=0, y=0, time=1762985708718, student=123, exam=123)
[keyboard] null (code=16777263, x=0, y=0, time=1762985709467, student=123, exam=123)
[keyboard] null (code=16777258, x=0, y=0, time=1762985709668, student=123, exam=123)
[keyboard] null (code=16777261, x=0, y=0, time=1762985709881, student=123, exam=123)
[keyboard] null (code=16777259, x=0, y=0, time=1762985710463, student=123, exam=123)
[keyboard] null (code=16777296, x=0, y=0, time=1762985711218, student=123, exam=123)
[keyboard] null (code=16777296, x=0, y=0, time=1762985711717, student=123, exam=123)
[keyboard] null (code=16777296, x=0, y=0, time=1762985712057, student=123, exam=123)
[keyboard] null (code=16777296, x=0, y=0, time=1762985712355, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985713608, student=123, exam=123)
[keyboard] null (code=13, x=0, y=0, time=1762985713830, student=123, exam=123)
[keyboard] null (code=16777296, x=0, y=0, time=1762985716722, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985716976, student=123, exam=123)
[keyboard] null (code=16777296, x=0, y=0, time=1762985717172, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985719143, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985719814, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985722057, student=123, exam=123)
[keyboard] null (code=32, x=0, y=0, time=1762985722313, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985723378, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985724349, student=123, exam=123)
[keyboard] null (code=262144, x=0, y=0, time=1762985724534, student=123, exam=123)
[keyboard] null (code=122, x=0, y=0, time=1762985726761, student=123, exam=123)
[keyboard] null (code=120, x=0, y=0, time=1762985727117, student=123, exam=123)
[keyboard] null (code=99, x=0, y=0, time=1762985727519, student=123, exam=123)
[keyboard] null (code=39, x=0, y=0, time=1762985730118, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985730371, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985732324, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985733237, student=123, exam=123)
[keyboard] null (code=49, x=0, y=0, time=1762985733519, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985734109, student=123, exam=123)
[keyboard] null (code=50, x=0, y=0, time=1762985734275, student=123, exam=123)
[keyboard] null (code=49, x=0, y=0, time=1762985735566, student=123, exam=123)
[keyboard] null (code=131072, x=0, y=0, time=1762985736591, student=123, exam=123)
[keyboard] null (code=49, x=0, y=0, time=1762985737330, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985758172, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985951404, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985951428, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985951436, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985952160, student=123, exam=123)
[focus] null (code=0, x=0, y=0, time=1762985952161, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985952162, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985952779, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985953410, student=123, exam=123)
[mouse] null (code=0, x=516, y=254, time=1762985954290, student=123, exam=123)
