[mouse] MOUSE (code=0, x=717, y=301, time=1763426789210, student=antonio, exam=123)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426789204, student=antonio, exam=123)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426791856, student=antonio, exam=123)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426798170, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=486, y=245, time=1763426798189, student=antonio, exam=123)
[keyboard] a (code=97, x=0, y=0, time=1763426798991, student=antonio, exam=123)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426799449, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=476, y=243, time=1763426799451, student=antonio, exam=123)
[keyboard] s (code=115, x=0, y=0, time=1763426799779, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=476, y=243, time=1763426800526, student=antonio, exam=123)
[keyboard] s (code=115, x=0, y=0, time=1763426800814, student=antonio, exam=123)
[keyboard] ALT (code=65536, x=0, y=0, time=1763426806257, student=antonio, exam=123)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426806384, student=antonio, exam=123)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426807964, student=antonio, exam=123)
[keyboard] a (code=97, x=0, y=0, time=1763426809436, student=antonio, exam=123)
[keyboard] s (code=115, x=0, y=0, time=1763426809605, student=antonio, exam=123)
[keyboard] d (code=100, x=0, y=0, time=1763426809766, student=antonio, exam=123)
[keyboard] a (code=97, x=0, y=0, time=1763426809907, student=antonio, exam=123)
[keyboard] s (code=115, x=0, y=0, time=1763426810022, student=antonio, exam=123)
[keyboard] d (code=100, x=0, y=0, time=1763426810122, student=antonio, exam=123)
[keyboard] a (code=97, x=0, y=0, time=1763426810400, student=antonio, exam=123)
[keyboard] s (code=115, x=0, y=0, time=1763426810455, student=antonio, exam=123)
[keyboard] d (code=100, x=0, y=0, time=1763426810551, student=antonio, exam=123)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426810850, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=475, y=244, time=1763426810851, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=475, y=244, time=1763426815402, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=473, y=244, time=1763426815909, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=472, y=244, time=1763426816334, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=140, y=69, time=1763426819708, student=antonio, exam=123)
[keyboard]   (code=32, x=0, y=0, time=1763426820165, student=antonio, exam=123)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426822269, student=antonio, exam=123)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426825194, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=475, y=295, time=1763426825213, student=antonio, exam=123)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426825653, student=antonio, exam=123)
[mouse] MOUSE (code=0, x=474, y=283, time=1763426825654, student=antonio, exam=123)
[keyboard] ALT (code=65536, x=0, y=0, time=1763426826492, student=antonio, exam=123)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426826581, student=antonio, exam=123)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763428375618, student=antonio, exam=123)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763428375929, student=antonio, exam=123)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763428376301, student=antonio, exam=123)
