[mouse] MOUSE (code=0, x=51, y=337, time=1765904739971, student=1, exam=2)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765904740067, student=1, exam=2)
[mouse] MOUSE (code=0, x=78, y=16, time=1765904741344, student=1, exam=2)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765904741521, student=1, exam=2)
[mouse] MOUSE (code=0, x=46, y=6, time=1765904742257, student=1, exam=2)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765904742481, student=1, exam=2)
[mouse] MOUSE (code=0, x=433, y=101, time=1765904743216, student=1, exam=2)
[mouse] MOUSE (code=0, x=17, y=3, time=1765904743985, student=1, exam=2)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765904744307, student=1, exam=2)
[mouse] MOUSE (code=0, x=63, y=293, time=1765904744746, student=1, exam=2)
[keyboard] ESC (code=27, x=0, y=0, time=1765904744996, student=1, exam=2)
[mouse] MOUSE (code=0, x=93, y=249, time=1765904745499, student=1, exam=2)
[keyboard] c (code=99, x=0, y=0, time=1765904747071, student=1, exam=2)
[keyboard] c (code=99, x=0, y=0, time=1765904747392, student=1, exam=2)
[keyboard] v (code=118, x=0, y=0, time=1765904748880, student=1, exam=2)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765904772562, student=1, exam=2)
