[mouse] MOUSE (code=0, x=134, y=382, time=1765911272638, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=134, y=382, time=1765911273574, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=117, y=430, time=1765911274042, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=112, y=163, time=1765911275231, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=110, y=88, time=1765911275721, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=110, y=88, time=1765911276038, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=98, y=194, time=1765911276531, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=129, y=302, time=1765911276913, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=129, y=302, time=1765911276950, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=102, y=387, time=1765911277476, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=102, y=387, time=1765911277536, student=asdsad, exam=312312)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765911278787, student=asdsad, exam=312312)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765911419478, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=159, y=385, time=1765911419893, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=58, y=530, time=1765911420697, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=58, y=556, time=1765911420991, student=asdsad, exam=312312)
[keyboard] a (code=97, x=0, y=0, time=1765911421956, student=asdsad, exam=312312)
[keyboard] s (code=115, x=0, y=0, time=1765911422200, student=asdsad, exam=312312)
[keyboard] d (code=100, x=0, y=0, time=1765911422242, student=asdsad, exam=312312)
[keyboard] a (code=97, x=0, y=0, time=1765911422488, student=asdsad, exam=312312)
[keyboard] s (code=115, x=0, y=0, time=1765911422544, student=asdsad, exam=312312)
[keyboard] c (code=99, x=0, y=0, time=1765911422619, student=asdsad, exam=312312)
[keyboard] x (code=120, x=0, y=0, time=1765911423032, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=82, y=363, time=1765911423529, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=82, y=363, time=1765911423697, student=asdsad, exam=312312)
[mouse] MOUSE (code=0, x=82, y=363, time=1765911423791, student=asdsad, exam=312312)
[keyboard] ESC (code=27, x=0, y=0, time=1765911424216, student=asdsad, exam=312312)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765911425103, student=asdsad, exam=312312)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765911586351, student=asdsad, exam=312312)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765911591352, student=asdsad, exam=312312)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765982133564, student=asdsad, exam=312312)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765982136907, student=asdsad, exam=312312)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765985658187, student=asdsad, exam=312312)
