[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765475459539, student=123, exam=33)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765475472720, student=123, exam=33)
[mouse] MOUSE (code=0, x=101, y=115, time=1765475477287, student=123, exam=33)
[keyboard] ESC (code=27, x=0, y=0, time=1765475477628, student=123, exam=33)
[keyboard] ESC (code=27, x=0, y=0, time=1765475478216, student=123, exam=33)
[keyboard] ESC (code=27, x=0, y=0, time=1765475478467, student=123, exam=33)
[keyboard] ESC (code=27, x=0, y=0, time=1765475478670, student=123, exam=33)
[mouse] MOUSE (code=0, x=101, y=115, time=1765475501529, student=123, exam=33)
[keyboard] c (code=99, x=0, y=0, time=1765475510664, student=123, exam=33)
[keyboard] v (code=118, x=0, y=0, time=1765475512650, student=123, exam=33)
[keyboard] ESC (code=27, x=0, y=0, time=1765475518788, student=123, exam=33)
[keyboard] ESC (code=27, x=0, y=0, time=1765475519069, student=123, exam=33)
[keyboard] ESC (code=27, x=0, y=0, time=1765475519244, student=123, exam=33)
[keyboard] ESC (code=27, x=0, y=0, time=1765475519414, student=123, exam=33)
[keyboard] c (code=99, x=0, y=0, time=1765475524377, student=123, exam=33)
[keyboard] v (code=118, x=0, y=0, time=1765475525702, student=123, exam=33)
[keyboard] v (code=118, x=0, y=0, time=1765475526003, student=123, exam=33)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765475566529, student=123, exam=33)
