[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765568684327, student=5, exam=5)
[mouse] MOUSE (code=0, x=98, y=496, time=1765568685803, student=5, exam=5)
[mouse] MOUSE (code=0, x=98, y=496, time=1765568687348, student=5, exam=5)
[keyboard] c (code=99, x=0, y=0, time=1765568688802, student=5, exam=5)
[keyboard] v (code=118, x=0, y=0, time=1765568689441, student=5, exam=5)
[mouse] MOUSE (code=0, x=98, y=496, time=1765568690171, student=5, exam=5)
[mouse] MOUSE (code=0, x=98, y=496, time=1765568690926, student=5, exam=5)
[mouse] MOUSE (code=0, x=112, y=313, time=1765568691371, student=5, exam=5)
[mouse] MOUSE (code=0, x=112, y=134, time=1765568691697, student=5, exam=5)
[mouse] MOUSE (code=0, x=116, y=58, time=1765568692036, student=5, exam=5)
[mouse] MOUSE (code=0, x=116, y=58, time=1765568692059, student=5, exam=5)
[keyboard] ESC (code=27, x=0, y=0, time=1765568692407, student=5, exam=5)
[keyboard] ESC (code=27, x=0, y=0, time=1765568692856, student=5, exam=5)
[keyboard] ESC (code=27, x=0, y=0, time=1765568693283, student=5, exam=5)
[keyboard] ESC (code=27, x=0, y=0, time=1765568693539, student=5, exam=5)
[mouse] MOUSE (code=0, x=116, y=58, time=1765568693927, student=5, exam=5)
[mouse] MOUSE (code=0, x=116, y=58, time=1765568693942, student=5, exam=5)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765568694772, student=5, exam=5)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765568716068, student=5, exam=5)
