[mouse] MOUSE (code=0, x=504, y=212, time=1763429087681, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429087677, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429089368, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429097888, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=633, y=213, time=1763429097908, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429098339, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=633, y=213, time=1763429098343, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429099512, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=222, y=68, time=1763429099514, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=120, y=79, time=1763429100206, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429100739, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429100740, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429101223, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429101609, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429101845, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429102113, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429102355, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429102567, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429102850, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429103045, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429103327, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429103575, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429103726, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429103989, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429104078, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429104202, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429104469, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429104598, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429104923, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429104948, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429105021, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429105049, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429105333, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429105438, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429105468, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429105603, student=Anonimo, exam=99)
[mouse] MOUSE (code=0, x=11, y=2, time=1763429105921, student=Anonimo, exam=99)
