[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765565264907, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765565265242, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765565265347, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765565265543, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765565265567, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765565265693, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765565265821, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765565265914, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765565265976, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765565266036, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765565266159, student=EstudanteDesconhecido, exam=ExameDesconhecido)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765565267508, student=EstudanteDesconhecido, exam=ExameDesconhecido)
