[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
[heartbeat] null (code=0, x=0, y=0, time=0, student=peter, exam=POO)
