[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762979583522, student=Joao, exam=Pp)
[mouse] null (code=0, x=619, y=235, time=1762979583525, student=Joao, exam=Pp)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762979583524, student=Joao, exam=Pp)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1762979585914, student=Joao, exam=Pp)
[mouse] null (code=0, x=156, y=30, time=1762979585915, student=Joao, exam=Pp)
[mouse] null (code=0, x=156, y=30, time=1762979586620, student=Joao, exam=Pp)
[mouse] null (code=0, x=156, y=30, time=1762979587699, student=Joao, exam=Pp)
[key]   (code=32, x=0, y=0, time=1762979589064, student=Joao, exam=Pp)
[key]   (code=32, x=0, y=0, time=1762979589791, student=Joao, exam=Pp)
[mouse] null (code=0, x=156, y=30, time=1762979592052, student=Joao, exam=Pp)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1762979594333, student=Joao, exam=Pp)
