[focus] null (code=0, x=0, y=0, time=1763001806998, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001806997, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001807000, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001806998, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001806995, student=Isac, exam=Prova2)
[mouse] null (code=0, x=685, y=196, time=1763001807001, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001807000, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001808492, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001809533, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001810029, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001810094, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001810224, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001810603, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001810624, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001810995, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001810997, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001811188, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001811234, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001811249, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001811263, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001811265, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001811524, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001811576, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001811648, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001811650, student=Isac, exam=Prova2)
[mouse] null (code=0, x=499, y=152, time=1763001811652, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001811803, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001811884, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001811897, student=Isac, exam=Prova2)
[keyboard] null (code=65536, x=0, y=0, time=1763001812629, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812683, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812690, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812691, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812692, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812692, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812694, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812695, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812697, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812699, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001812700, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818534, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818533, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818531, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818536, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818529, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818535, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818537, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818540, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818539, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818537, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818558, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818561, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818567, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818553, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818566, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818560, student=Isac, exam=Prova2)
[mouse] null (code=0, x=154, y=93, time=1763001818570, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001818559, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001819302, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001819319, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001819655, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001819656, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001819659, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001819657, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001819658, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001819660, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001819661, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001820003, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001820311, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001820676, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001820732, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001820909, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001821145, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001821189, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001821344, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001821404, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001821712, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001821744, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001821748, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001821827, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001822039, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001822079, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001822159, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001822217, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001822361, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001822365, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001822415, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001822466, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001822500, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001822658, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001822715, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001822736, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001822797, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001822980, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001823001, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001823014, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001823097, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001823253, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001823296, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001823344, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001823350, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001823384, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001823762, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001823776, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001823792, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001823819, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001823828, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001823854, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001824186, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001824203, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001824226, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001824343, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001824556, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001824592, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001824614, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001824654, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001824655, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001824681, student=Isac, exam=Prova2)
[keyboard] null (code=113, x=0, y=0, time=1763001824943, student=Isac, exam=Prova2)
[keyboard] null (code=119, x=0, y=0, time=1763001824977, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001824988, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001825039, student=Isac, exam=Prova2)
[keyboard] null (code=101, x=0, y=0, time=1763001825042, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001825330, student=Isac, exam=Prova2)
[mouse] null (code=0, x=457, y=257, time=1763001825344, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827354, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827367, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827369, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827370, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827371, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827372, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827371, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827373, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827373, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001827374, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835892, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835896, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835889, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835891, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835896, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835894, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835895, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835907, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835913, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835914, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835893, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835893, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835894, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835915, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835921, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835916, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001835921, student=Isac, exam=Prova2)
[mouse] null (code=0, x=233, y=97, time=1763001835923, student=Isac, exam=Prova2)
[keyboard] null (code=32, x=0, y=0, time=1763001836154, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001839408, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001839408, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001839410, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001839410, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001839411, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001839411, student=Isac, exam=Prova2)
[mouse] null (code=0, x=61, y=12, time=1763001839411, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001841111, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001841113, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001841115, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001841573, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001841883, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001842015, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001842109, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001842147, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001842326, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001842380, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001842471, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001842585, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001842693, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001842774, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001842889, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001843038, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001843121, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001843206, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001843433, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001843451, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001843526, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001843627, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001843752, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001843777, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001843863, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001843959, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001844093, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001844120, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001844209, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001844302, student=Isac, exam=Prova2)
[mouse] null (code=0, x=361, y=250, time=1763001844401, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001844463, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001844516, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001844628, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001844766, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001844813, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001844940, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001845036, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001845064, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001845170, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001845309, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001845498, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001845648, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001845725, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001845827, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001845969, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001846100, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001846255, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001846331, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001846421, student=Isac, exam=Prova2)
[keyboard] null (code=97, x=0, y=0, time=1763001846572, student=Isac, exam=Prova2)
[keyboard] null (code=115, x=0, y=0, time=1763001846633, student=Isac, exam=Prova2)
[keyboard] null (code=100, x=0, y=0, time=1763001846784, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847061, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847075, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847077, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847078, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847084, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847087, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847089, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847090, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847091, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001847091, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850972, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850972, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850991, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850974, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850975, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850980, student=Isac, exam=Prova2)
[focus] null (code=0, x=0, y=0, time=1763001850979, student=Isac, exam=Prova2)
