[focus] null (code=0, x=0, y=0, time=1763002509159, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509164, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=46, y=13, time=1763002509169, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509155, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509165, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509158, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509161, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509166, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509159, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509282, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509166, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509283, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509160, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509284, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509161, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002509277, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=70, y=24, time=1763002511435, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511553, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511559, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511560, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511560, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511561, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511564, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511565, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511566, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511566, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511567, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511567, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511568, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511984, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511985, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511986, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511986, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511987, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002511987, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=73, y=2, time=1763002511988, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=73, y=2, time=1763002512477, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=73, y=2, time=1763002512553, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=73, y=2, time=1763002512975, student=Anonimo, exam=Teste)
[mouse] null (code=0, x=73, y=2, time=1763002513059, student=Anonimo, exam=Teste)
[focus] null (code=0, x=0, y=0, time=1763002513464, student=Anonimo, exam=Teste)
