[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418380911, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418380399, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418382047, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418382119, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418380057, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418380782, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418380037, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418382843, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418383067, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418386052, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418386587, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418387060, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418387652, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418387999, student=a, exam=a)
[vision] OLHANDO_DIREITA (code=0, x=0, y=0, time=1765418391959, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418391980, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418392209, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418392471, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418393546, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418394467, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418396206, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418396277, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418397381, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418397462, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418397592, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418397659, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418397852, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418398055, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418398185, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418398402, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418398468, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418398734, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418398813, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418398881, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418399015, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418399279, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418399777, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418400222, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418400577, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418400894, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418401213, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418401552, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418402158, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418402287, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418402625, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418402758, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418403217, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418403283, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418403371, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418403626, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418403957, student=a, exam=a)
[vision] MOTION_CEASED (code=0, x=0, y=0, time=1765418404102, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418403968, student=a, exam=a)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765418404369, student=a, exam=a)
[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765418407178, student=a, exam=a)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765418407168, student=a, exam=a)
