[mouse] MOUSE (code=0, x=35, y=4, time=1764270591453, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270590938, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=118, y=6, time=1764270595125, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=275, y=130, time=1764270595933, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270597401, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270599237, student=antonio, exam=asd)
[critical_key] COPY (code=0, x=0, y=0, time=1764270600590, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270601925, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270606368, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=322, y=304, time=1764270606680, student=antonio, exam=asd)
[critical_key] PASTE (code=0, x=0, y=0, time=1764270607471, student=antonio, exam=asd)
[critical_key] ESCAPE (code=0, x=0, y=0, time=1764270609133, student=antonio, exam=asd)
[critical_key] ESCAPE (code=0, x=0, y=0, time=1764270609848, student=antonio, exam=asd)
[critical_key] ESCAPE (code=0, x=0, y=0, time=1764270610389, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270611272, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270622033, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270624099, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270626050, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270627884, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270629120, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270631408, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270631992, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270633231, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270638343, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=99, y=10, time=1764270638850, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270641120, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270644309, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270648592, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270651799, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270657163, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270659184, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270668835, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270672088, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=54, y=89, time=1764270673557, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=458, y=70, time=1764270674283, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=531, y=201, time=1764270674653, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=385, y=248, time=1764270675004, student=antonio, exam=asd)
[mouse] MOUSE (code=0, x=17, y=10, time=1764270675307, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270675789, student=antonio, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764270729685, student=antonio, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764270730511, student=antonio, exam=asd)
