[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080449297, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=612, y=213, time=1763080449585, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=611, y=214, time=1763080449680, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=620, y=210, time=1763080449301, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=611, y=214, time=1763080449823, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080449882, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080450010, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080450062, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080450199, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080450260, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080450395, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080450446, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080450594, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=610, y=214, time=1763080450644, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=536, y=222, time=1763080451664, student=asd, exam=asd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763080452748, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080452837, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460804, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460805, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460805, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460806, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460806, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460803, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460808, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460826, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460807, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080460835, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080460808, student=asd, exam=asd)
[keyboard]   (code=32, x=0, y=0, time=1763080461039, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=527, y=198, time=1763080460846, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080461939, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080462200, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080462428, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080462620, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080462700, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080462825, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080462957, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080462967, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080463072, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080463183, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080463198, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080463307, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080463446, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080463461, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080463570, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080463622, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=242, y=245, time=1763080463625, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=242, y=245, time=1763080463811, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=242, y=245, time=1763080463863, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080463957, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080464083, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080464110, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080464225, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080464770, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467047, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467045, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467040, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467045, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467042, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467048, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467049, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467048, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080467070, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467049, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080467062, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=505, y=308, time=1763080467082, student=asd, exam=asd)
[keyboard]   (code=32, x=0, y=0, time=1763080467454, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080467661, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080467736, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080467846, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080468047, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080468193, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080468278, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080468307, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=486, y=302, time=1763080468327, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080468395, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080468521, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=486, y=302, time=1763080468605, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080468610, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=486, y=302, time=1763080468638, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080468648, student=asd, exam=asd)
[keyboard] a (code=97, x=0, y=0, time=1763080469119, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080471215, student=asd, exam=asd)
[keyboard] f (code=102, x=0, y=0, time=1763080471499, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=486, y=302, time=1763080471691, student=asd, exam=asd)
[keyboard] s (code=115, x=0, y=0, time=1763080471745, student=asd, exam=asd)
[keyboard] d (code=100, x=0, y=0, time=1763080471762, student=asd, exam=asd)
[keyboard] f (code=102, x=0, y=0, time=1763080471833, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=486, y=302, time=1763080472269, student=asd, exam=asd)
[mouse] MOUSE (code=0, x=486, y=302, time=1763080472316, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080472903, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473709, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473699, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473710, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473712, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473715, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473718, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473719, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473720, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473720, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473720, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473721, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080473721, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080476210, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534633, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534653, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534655, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534656, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534659, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534678, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534679, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534680, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534682, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534680, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534683, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763080534683, student=asd, exam=asd)
[keyboard] ALT (code=65536, x=0, y=0, time=1763080535053, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763080535135, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294854, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294858, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294839, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294853, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294859, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294859, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294862, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294851, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294853, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294865, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294864, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081294863, student=asd, exam=asd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081295168, student=asd, exam=asd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081296053, student=asd, exam=asd)
