[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[heartbeat] null (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=asdas, exam=asdasd)
