[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765905499864, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=136, y=270, time=1765905498880, student=asdasd, exam=asdasd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765905498192, student=asdasd, exam=asdasd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765905503685, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=114, y=382, time=1765905503953, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=110, y=350, time=1765905504659, student=asdasd, exam=asdasd)
[keyboard] ESC (code=27, x=0, y=0, time=1765905505204, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=108, y=192, time=1765905505645, student=asdasd, exam=asdasd)
[keyboard] a (code=97, x=0, y=0, time=1765905506301, student=asdasd, exam=asdasd)
[keyboard] s (code=115, x=0, y=0, time=1765905506668, student=asdasd, exam=asdasd)
[keyboard] d (code=100, x=0, y=0, time=1765905506772, student=asdasd, exam=asdasd)
[keyboard] a (code=97, x=0, y=0, time=1765905506935, student=asdasd, exam=asdasd)
[keyboard] s (code=115, x=0, y=0, time=1765905507029, student=asdasd, exam=asdasd)
[keyboard] d (code=100, x=0, y=0, time=1765905507129, student=asdasd, exam=asdasd)
[keyboard] a (code=97, x=0, y=0, time=1765905507301, student=asdasd, exam=asdasd)
[keyboard] v (code=118, x=0, y=0, time=1765905507561, student=asdasd, exam=asdasd)
[keyboard] c (code=99, x=0, y=0, time=1765905508214, student=asdasd, exam=asdasd)
[keyboard] a (code=97, x=0, y=0, time=1765905508453, student=asdasd, exam=asdasd)
[keyboard] s (code=115, x=0, y=0, time=1765905508565, student=asdasd, exam=asdasd)
[keyboard] d (code=100, x=0, y=0, time=1765905508665, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=108, y=192, time=1765905508760, student=asdasd, exam=asdasd)
[keyboard] s (code=115, x=0, y=0, time=1765905509014, student=asdasd, exam=asdasd)
[keyboard] a (code=97, x=0, y=0, time=1765905509028, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=108, y=192, time=1765905509074, student=asdasd, exam=asdasd)
[keyboard] d (code=100, x=0, y=0, time=1765905509090, student=asdasd, exam=asdasd)
[keyboard] a (code=97, x=0, y=0, time=1765905509286, student=asdasd, exam=asdasd)
[keyboard] s (code=115, x=0, y=0, time=1765905509366, student=asdasd, exam=asdasd)
[keyboard] d (code=100, x=0, y=0, time=1765905509391, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=108, y=192, time=1765905509455, student=asdasd, exam=asdasd)
[keyboard] a (code=97, x=0, y=0, time=1765905509584, student=asdasd, exam=asdasd)
[keyboard] s (code=115, x=0, y=0, time=1765905509628, student=asdasd, exam=asdasd)
[keyboard] ESPAÇO (code=32, x=0, y=0, time=1765905509684, student=asdasd, exam=asdasd)
[keyboard] ESPAÇO (code=32, x=0, y=0, time=1765905509950, student=asdasd, exam=asdasd)
[keyboard] ESPAÇO (code=32, x=0, y=0, time=1765905510120, student=asdasd, exam=asdasd)
[keyboard] a (code=97, x=0, y=0, time=1765905510209, student=asdasd, exam=asdasd)
[keyboard] s (code=115, x=0, y=0, time=1765905510231, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=108, y=192, time=1765905510247, student=asdasd, exam=asdasd)
[keyboard] d (code=100, x=0, y=0, time=1765905510397, student=asdasd, exam=asdasd)
[keyboard] ESPAÇO (code=32, x=0, y=0, time=1765905510452, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=108, y=192, time=1765905510671, student=asdasd, exam=asdasd)
[keyboard] ESPAÇO (code=32, x=0, y=0, time=1765905510673, student=asdasd, exam=asdasd)
[keyboard] ESPAÇO (code=32, x=0, y=0, time=1765905510842, student=asdasd, exam=asdasd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765905511278, student=asdasd, exam=asdasd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765905524474, student=asdasd, exam=asdasd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765905526274, student=asdasd, exam=asdasd)
[mouse] MOUSE (code=0, x=108, y=192, time=1765905528116, student=asdasd, exam=asdasd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765905528600, student=asdasd, exam=asdasd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765907156623, student=asdasd, exam=asdasd)
