[mouse] MOUSE (code=0, x=714, y=302, time=1763081425493, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081425486, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081425988, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081426348, student=asdd, exam=asddd)
[keyboard]   (code=32, x=0, y=0, time=1763081427284, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081427707, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081427955, student=asdd, exam=asddd)
[keyboard] w (code=119, x=0, y=0, time=1763081428316, student=asdd, exam=asddd)
[keyboard] q (code=113, x=0, y=0, time=1763081428349, student=asdd, exam=asddd)
[keyboard] w (code=119, x=0, y=0, time=1763081428635, student=asdd, exam=asddd)
[keyboard] e (code=101, x=0, y=0, time=1763081428796, student=asdd, exam=asddd)
[keyboard] q (code=113, x=0, y=0, time=1763081428988, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081429046, student=asdd, exam=asddd)
[keyboard] w (code=119, x=0, y=0, time=1763081429073, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081429112, student=asdd, exam=asddd)
[keyboard] e (code=101, x=0, y=0, time=1763081429159, student=asdd, exam=asddd)
[keyboard] q (code=113, x=0, y=0, time=1763081429328, student=asdd, exam=asddd)
[keyboard] CAPS_LOCK (code=16777298, x=0, y=0, time=1763081430190, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081430658, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081431056, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081431122, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081431180, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081431219, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081431257, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081431419, student=asdd, exam=asddd)
[keyboard]   (code=32, x=0, y=0, time=1763081431444, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081431580, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081431742, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081431791, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081431816, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081431888, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081431926, student=asdd, exam=asddd)
[keyboard]   (code=32, x=0, y=0, time=1763081431963, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081432053, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081432097, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081432156, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081432199, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081432224, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081432276, student=asdd, exam=asddd)
[keyboard]   (code=32, x=0, y=0, time=1763081432368, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081432381, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081432456, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081432500, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081432510, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081432528, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081432639, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081432698, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=487, y=257, time=1763081432699, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081432759, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081432805, student=asdd, exam=asddd)
[keyboard]   (code=32, x=0, y=0, time=1763081432931, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081436514, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440162, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440163, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440164, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440164, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440165, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440166, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440165, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440166, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440182, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081440190, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081440166, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=282, y=100, time=1763081440200, student=asdd, exam=asddd)
[keyboard]   (code=32, x=0, y=0, time=1763081441083, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=273, y=100, time=1763081441571, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081441573, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081441569, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081441874, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081441927, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081442065, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=273, y=100, time=1763081442186, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=273, y=100, time=1763081442215, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081442228, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081442266, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081442394, student=asdd, exam=asddd)
[keyboard] A (code=97, x=0, y=0, time=1763081442545, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=273, y=100, time=1763081442645, student=asdd, exam=asddd)
[mouse] MOUSE (code=0, x=273, y=100, time=1763081442648, student=asdd, exam=asddd)
[keyboard] S (code=115, x=0, y=0, time=1763081442685, student=asdd, exam=asddd)
[keyboard] D (code=100, x=0, y=0, time=1763081442706, student=asdd, exam=asddd)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763081443633, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445994, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445987, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081446000, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445995, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445999, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081445997, student=asdd, exam=asddd)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763081446001, student=asdd, exam=asddd)
