[mouse] MOUSE (code=0, x=718, y=200, time=1763426698035, student=antonio, exam=ccc)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426698032, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=517, y=235, time=1763426698573, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=517, y=235, time=1763426699681, student=antonio, exam=ccc)
[keyboard]   (code=32, x=0, y=0, time=1763426700153, student=antonio, exam=ccc)
[keyboard] ALT (code=65536, x=0, y=0, time=1763426700621, student=antonio, exam=ccc)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426700832, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426701918, student=antonio, exam=ccc)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426702577, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=517, y=235, time=1763426702579, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=517, y=235, time=1763426703067, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=517, y=235, time=1763426703610, student=antonio, exam=ccc)
[keyboard] s (code=115, x=0, y=0, time=1763426703780, student=antonio, exam=ccc)
[keyboard] a (code=97, x=0, y=0, time=1763426703872, student=antonio, exam=ccc)
[keyboard] d (code=100, x=0, y=0, time=1763426703881, student=antonio, exam=ccc)
[keyboard]   (code=32, x=0, y=0, time=1763426704033, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=517, y=235, time=1763426704213, student=antonio, exam=ccc)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426705992, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426726203, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426726214, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=352, y=329, time=1763426726218, student=antonio, exam=ccc)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426727383, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=352, y=329, time=1763426727385, student=antonio, exam=ccc)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426732085, student=antonio, exam=ccc)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426732102, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426735305, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426735318, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=88, y=97, time=1763426735328, student=antonio, exam=ccc)
[keyboard]   (code=32, x=0, y=0, time=1763426735893, student=antonio, exam=ccc)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763426736317, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=87, y=97, time=1763426736318, student=antonio, exam=ccc)
[keyboard] a (code=97, x=0, y=0, time=1763426736908, student=antonio, exam=ccc)
[keyboard] d (code=100, x=0, y=0, time=1763426737703, student=antonio, exam=ccc)
[keyboard] s (code=115, x=0, y=0, time=1763426737933, student=antonio, exam=ccc)
[keyboard] a (code=97, x=0, y=0, time=1763426737944, student=antonio, exam=ccc)
[mouse] MOUSE (code=0, x=87, y=97, time=1763426738150, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426740518, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426740567, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426740579, student=antonio, exam=ccc)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763426740934, student=antonio, exam=ccc)
