[mouse] MOUSE (code=0, x=50, y=191, time=1765478963910, student=jose, exam=dificil)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765478962705, student=jose, exam=dificil)
[mouse] MOUSE (code=0, x=16, y=206, time=1765478963066, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478965119, student=jose, exam=dificil)
[mouse] MOUSE (code=0, x=50, y=191, time=1765478965470, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478965698, student=jose, exam=dificil)
[mouse] MOUSE (code=0, x=50, y=191, time=1765478965912, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478966752, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478967964, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478968627, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478969115, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478969526, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478969868, student=jose, exam=dificil)
[keyboard] ESC (code=27, x=0, y=0, time=1765478970173, student=jose, exam=dificil)
[mouse] MOUSE (code=0, x=50, y=191, time=1765478970304, student=jose, exam=dificil)
[mouse] MOUSE (code=0, x=50, y=191, time=1765478970625, student=jose, exam=dificil)
[mouse] MOUSE (code=0, x=50, y=191, time=1765478970851, student=jose, exam=dificil)
[mouse] MOUSE (code=0, x=50, y=191, time=1765478971068, student=jose, exam=dificil)
[mouse] MOUSE (code=0, x=50, y=191, time=1765478971391, student=jose, exam=dificil)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765478972713, student=jose, exam=dificil)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765484715957, student=jose, exam=dificil)
[keyboard] ALT (code=65536, x=0, y=0, time=1765484720933, student=jose, exam=dificil)
