[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765903860112, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=127, y=325, time=1765903859330, student=asd, exam=dsa)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765904029290, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=51, y=404, time=1765904029758, student=asd, exam=dsa)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765904029997, student=asd, exam=dsa)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1765904031993, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=59, y=556, time=1765904032709, student=asd, exam=dsa)
[keyboard] ESC (code=27, x=0, y=0, time=1765904033222, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=87, y=466, time=1765904033456, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=87, y=466, time=1765904034074, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=87, y=466, time=1765904034803, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=87, y=466, time=1765904035277, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=87, y=466, time=1765904035895, student=asd, exam=dsa)
[keyboard] c (code=99, x=0, y=0, time=1765904036422, student=asd, exam=dsa)
[keyboard] a (code=97, x=0, y=0, time=1765904036869, student=asd, exam=dsa)
[keyboard] s (code=115, x=0, y=0, time=1765904037182, student=asd, exam=dsa)
[keyboard] d (code=100, x=0, y=0, time=1765904037348, student=asd, exam=dsa)
[keyboard] a (code=97, x=0, y=0, time=1765904037449, student=asd, exam=dsa)
[mouse] MOUSE (code=0, x=87, y=466, time=1765904038296, student=asd, exam=dsa)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1765904038813, student=asd, exam=dsa)
