[focus] null (code=0, x=0, y=0, time=1763002345668, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002345662, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002345667, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002345667, student=isac, exam=ioi)
[mouse] null (code=0, x=726, y=296, time=1763002345669, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002345666, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002345668, student=isac, exam=ioi)
[mouse] null (code=0, x=568, y=256, time=1763002346563, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349029, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349048, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349049, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349051, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349052, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349052, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349052, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349054, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349055, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002349055, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351763, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351757, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351760, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351761, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351762, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351762, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351763, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351764, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351785, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351784, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351761, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351776, student=isac, exam=ioi)
[mouse] null (code=0, x=589, y=244, time=1763002351795, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351786, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351790, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351786, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002351791, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002352407, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002352409, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002352411, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002352410, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002352411, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002352413, student=isac, exam=ioi)
[mouse] null (code=0, x=204, y=59, time=1763002352414, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002353021, student=isac, exam=ioi)
[mouse] null (code=0, x=199, y=3, time=1763002353023, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002353335, student=isac, exam=ioi)
[mouse] null (code=0, x=196, y=81, time=1763002353336, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357801, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357781, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357796, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357798, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357800, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357802, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357802, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357803, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357803, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357804, student=isac, exam=ioi)
[focus] null (code=0, x=0, y=0, time=1763002357804, student=isac, exam=ioi)
