[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=j, exam=k)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045155292, student=j, exam=k)
[vision_frame] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045156356, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045157378, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045158392, student=j, exam=k)
[vision_frame] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045159421, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045160478, student=j, exam=k)
[vision_frame] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045161528, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045162534, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045163580, student=j, exam=k)
[vision_frame] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045164645, student=j, exam=k)
[heartbeat] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045165696, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045166708, student=j, exam=k)
[vision_frame] null (code=0, x=0, y=0, time=0, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045167732, student=j, exam=k)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767045168764, student=j, exam=k)
