[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[keyboard] CTRL_V (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=kddk, exam=lasdl)
