[mouse] MOUSE (code=0, x=191, y=69, time=1764246993599, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=209, y=38, time=1764247015195, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=209, y=38, time=1764247018539, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=209, y=38, time=1764247019315, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=210, y=93, time=1764247020177, student=antonio, exam=miniprova)
[keyboard] q (code=113, x=0, y=0, time=1764247020655, student=antonio, exam=miniprova)
[keyboard] w (code=119, x=0, y=0, time=1764247021280, student=antonio, exam=miniprova)
[keyboard] e (code=101, x=0, y=0, time=1764247021510, student=antonio, exam=miniprova)
[keyboard] r (code=114, x=0, y=0, time=1764247021784, student=antonio, exam=miniprova)
[keyboard] CAPS_LOCK (code=16777298, x=0, y=0, time=1764247022040, student=antonio, exam=miniprova)
[keyboard] Q (code=113, x=0, y=0, time=1764247022584, student=antonio, exam=miniprova)
[keyboard] W (code=119, x=0, y=0, time=1764247022842, student=antonio, exam=miniprova)
[keyboard] E (code=101, x=0, y=0, time=1764247023017, student=antonio, exam=miniprova)
[keyboard] K (code=107, x=0, y=0, time=1764247023282, student=antonio, exam=miniprova)
[keyboard] P (code=112, x=0, y=0, time=1764247023642, student=antonio, exam=miniprova)
[keyboard] Ç (code=231, x=0, y=0, time=1764247023878, student=antonio, exam=miniprova)
[keyboard] A (code=97, x=0, y=0, time=1764247024082, student=antonio, exam=miniprova)
[keyboard] . (code=46, x=0, y=0, time=1764247024203, student=antonio, exam=miniprova)
[keyboard] ~ (code=126, x=0, y=0, time=1764247025330, student=antonio, exam=miniprova)
[keyboard] ~ (code=126, x=0, y=0, time=1764247025331, student=antonio, exam=miniprova)
[keyboard] ´ (code=91, x=0, y=0, time=1764247026390, student=antonio, exam=miniprova)
[keyboard] [ (code=91, x=0, y=0, time=1764247026391, student=antonio, exam=miniprova)
[keyboard]   (code=32, x=0, y=0, time=1764247027862, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=210, y=93, time=1764247029107, student=antonio, exam=miniprova)
[keyboard] CAPS_LOCK (code=16777298, x=0, y=0, time=1764247029508, student=antonio, exam=miniprova)
[keyboard] ALT (code=65536, x=0, y=0, time=1764247030151, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=210, y=93, time=1764247030808, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=315, y=129, time=1764247032562, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=206, y=245, time=1764247033033, student=antonio, exam=miniprova)
[keyboard] ALT (code=65536, x=0, y=0, time=1764247034540, student=antonio, exam=miniprova)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764247034910, student=antonio, exam=miniprova)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764247036156, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=206, y=245, time=1764247036687, student=antonio, exam=miniprova)
[keyboard]   (code=32, x=0, y=0, time=1764247036913, student=antonio, exam=miniprova)
[keyboard] e (code=101, x=0, y=0, time=1764247036968, student=antonio, exam=miniprova)
[keyboard] e (code=101, x=0, y=0, time=1764247037280, student=antonio, exam=miniprova)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764247045736, student=antonio, exam=miniprova)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764247403693, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=229, y=91, time=1764247404005, student=antonio, exam=miniprova)
[keyboard] a (code=97, x=0, y=0, time=1764247404495, student=antonio, exam=miniprova)
[keyboard] s (code=115, x=0, y=0, time=1764247404755, student=antonio, exam=miniprova)
[keyboard] d (code=100, x=0, y=0, time=1764247404805, student=antonio, exam=miniprova)
[keyboard]   (code=32, x=0, y=0, time=1764247404997, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=3, y=55, time=1764247405071, student=antonio, exam=miniprova)
[keyboard] a (code=97, x=0, y=0, time=1764247405276, student=antonio, exam=miniprova)
[keyboard] s (code=115, x=0, y=0, time=1764247405414, student=antonio, exam=miniprova)
[keyboard] d (code=100, x=0, y=0, time=1764247405438, student=antonio, exam=miniprova)
[keyboard]   (code=32, x=0, y=0, time=1764247405468, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=3, y=55, time=1764247405527, student=antonio, exam=miniprova)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764247405928, student=antonio, exam=miniprova)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764249317601, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=47, y=97, time=1764249318177, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=47, y=97, time=1764249319022, student=antonio, exam=miniprova)
[keyboard] ç (code=231, x=0, y=0, time=1764249319819, student=antonio, exam=miniprova)
[keyboard]   (code=32, x=0, y=0, time=1764249320071, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=10, y=10, time=1764247405527, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=10, y=10, time=1764247405527, student=antonio, exam=miniprova)
[mouse] MOUSE (code=0, x=10, y=10, time=1764247405527, student=antonio, exam=miniprova)
