[mouse] null (code=0, x=719, y=251, time=1762982456446, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982456443, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982456445, student=Joao, exam=pppo)
[mouse] null (code=0, x=719, y=251, time=1762982457347, student=Joao, exam=pppo)
[mouse] null (code=0, x=637, y=241, time=1762982458036, student=Joao, exam=pppo)
[mouse] null (code=0, x=625, y=256, time=1762982458831, student=Joao, exam=pppo)
[keyboard] s (code=115, x=0, y=0, time=1762982459617, student=Joao, exam=pppo)
[keyboard]   (code=32, x=0, y=0, time=1762982460215, student=Joao, exam=pppo)
[keyboard]   (code=32, x=0, y=0, time=1762982467755, student=Joao, exam=pppo)
[keyboard]   (code=32, x=0, y=0, time=1762982468549, student=Joao, exam=pppo)
[keyboard]   (code=32, x=0, y=0, time=1762982469056, student=Joao, exam=pppo)
[keyboard]   (code=32, x=0, y=0, time=1762982469626, student=Joao, exam=pppo)
[keyboard]   (code=32, x=0, y=0, time=1762982470138, student=Joao, exam=pppo)
[mouse] null (code=0, x=625, y=256, time=1762982479114, student=Joao, exam=pppo)
[mouse] null (code=0, x=625, y=256, time=1762982479872, student=Joao, exam=pppo)
[mouse] null (code=0, x=625, y=256, time=1762982480483, student=Joao, exam=pppo)
[mouse] null (code=0, x=625, y=256, time=1762982480943, student=Joao, exam=pppo)
[mouse] null (code=0, x=625, y=256, time=1762982481235, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982483253, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982487134, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982487147, student=Joao, exam=pppo)
[mouse] null (code=0, x=331, y=263, time=1762982487153, student=Joao, exam=pppo)
[keyboard] ALT (code=65536, x=0, y=0, time=1762982487620, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982487703, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982489228, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982500166, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982502981, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982503012, student=Joao, exam=pppo)
[mouse] null (code=0, x=593, y=307, time=1762982503017, student=Joao, exam=pppo)
[keyboard] ALT (code=65536, x=0, y=0, time=1762982504872, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982504997, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982506606, student=Joao, exam=pppo)
[keyboard] ALT (code=65536, x=0, y=0, time=1762982507699, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982507753, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982509641, student=Joao, exam=pppo)
[keyboard] ALT (code=65536, x=0, y=0, time=1762982510319, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982510418, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982511296, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982550698, student=Joao, exam=pppo)
[mouse] null (code=0, x=566, y=284, time=1762982640623, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982640601, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982640617, student=Joao, exam=pppo)
[keyboard] a (code=97, x=0, y=0, time=1762982641218, student=Joao, exam=pppo)
[keyboard] a (code=97, x=0, y=0, time=1762982641720, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982642025, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982642026, student=Joao, exam=pppo)
[mouse] null (code=0, x=566, y=284, time=1762982642027, student=Joao, exam=pppo)
[mouse] null (code=0, x=566, y=284, time=1762982643602, student=Joao, exam=pppo)
[mouse] null (code=0, x=566, y=284, time=1762982644119, student=Joao, exam=pppo)
[mouse] null (code=0, x=566, y=284, time=1762982644574, student=Joao, exam=pppo)
[mouse] null (code=0, x=566, y=284, time=1762982644984, student=Joao, exam=pppo)
[mouse] null (code=0, x=566, y=284, time=1762982645477, student=Joao, exam=pppo)
[mouse] null (code=0, x=566, y=284, time=1762982646000, student=Joao, exam=pppo)
[mouse] null (code=0, x=525, y=219, time=1762982651488, student=Joao, exam=pppo)
[mouse] null (code=0, x=525, y=219, time=1762982652099, student=Joao, exam=pppo)
[mouse] null (code=0, x=525, y=219, time=1762982652364, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982653156, student=Joao, exam=pppo)
[mouse] null (code=0, x=147, y=5, time=1762982653157, student=Joao, exam=pppo)
[mouse] null (code=0, x=124, y=12, time=1762982654461, student=Joao, exam=pppo)
[mouse] null (code=0, x=64, y=13, time=1762982655064, student=Joao, exam=pppo)
[mouse] null (code=0, x=193, y=118, time=1762982656007, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982656006, student=Joao, exam=pppo)
[mouse] null (code=0, x=171, y=2, time=1762982658111, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982658110, student=Joao, exam=pppo)
[mouse] null (code=0, x=81, y=9, time=1762982659029, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982660212, student=Joao, exam=pppo)
[mouse] null (code=0, x=753, y=196, time=1762982660214, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982661584, student=Joao, exam=pppo)
[mouse] null (code=0, x=244, y=215, time=1762982661585, student=Joao, exam=pppo)
[mouse] null (code=0, x=153, y=198, time=1762982662643, student=Joao, exam=pppo)
[mouse] null (code=0, x=151, y=198, time=1762982663459, student=Joao, exam=pppo)
[mouse] null (code=0, x=151, y=198, time=1762982664075, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982664850, student=Joao, exam=pppo)
[mouse] null (code=0, x=9, y=12, time=1762982664851, student=Joao, exam=pppo)
[mouse] null (code=0, x=191, y=205, time=1762982666404, student=Joao, exam=pppo)
[focus] null (code=0, x=0, y=0, time=1762982666403, student=Joao, exam=pppo)
[mouse] null (code=0, x=590, y=241, time=1762982667966, student=Joao, exam=pppo)
