[focus] null (code=0, x=0, y=0, time=1762999069523, student=Colega, exam=prova1)
[mouse] null (code=0, x=615, y=258, time=1762999069526, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999069524, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999069520, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999069524, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999069525, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999069526, student=Colega, exam=prova1)
[mouse] null (code=0, x=615, y=258, time=1762999070011, student=Colega, exam=prova1)
[keyboard] null (code=97, x=0, y=0, time=1762999070571, student=Colega, exam=prova1)
[keyboard] null (code=32, x=0, y=0, time=1762999070818, student=Colega, exam=prova1)
[keyboard] null (code=97, x=0, y=0, time=1762999071135, student=Colega, exam=prova1)
[keyboard] null (code=115, x=0, y=0, time=1762999071190, student=Colega, exam=prova1)
[keyboard] null (code=100, x=0, y=0, time=1762999071285, student=Colega, exam=prova1)
[mouse] null (code=0, x=615, y=258, time=1762999071445, student=Colega, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1762999071692, student=Colega, exam=prova1)
[keyboard] null (code=119, x=0, y=0, time=1762999071707, student=Colega, exam=prova1)
[keyboard] null (code=101, x=0, y=0, time=1762999071792, student=Colega, exam=prova1)
[keyboard] null (code=113, x=0, y=0, time=1762999071918, student=Colega, exam=prova1)
[keyboard] null (code=119, x=0, y=0, time=1762999071928, student=Colega, exam=prova1)
[keyboard] null (code=101, x=0, y=0, time=1762999072003, student=Colega, exam=prova1)
[mouse] null (code=0, x=615, y=258, time=1762999072011, student=Colega, exam=prova1)
[keyboard] null (code=65536, x=0, y=0, time=1762999072292, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072346, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072358, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072360, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072361, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072362, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072362, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072364, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072365, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072366, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999072367, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153959, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153960, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153960, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153968, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153969, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153961, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153944, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153972, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153970, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153972, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153971, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999153973, student=Colega, exam=prova1)
[keyboard] null (code=65536, x=0, y=0, time=1762999154460, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154540, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154549, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154550, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154551, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154551, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154552, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154553, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154553, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154555, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154555, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154556, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999154557, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254869, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254869, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254871, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254874, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254873, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254874, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254868, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254873, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254872, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254875, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254878, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254894, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254901, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254902, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254903, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254903, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254908, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999254909, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999254911, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999255095, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999255096, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999255099, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999255102, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999255102, student=Colega, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1762999255101, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999255103, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999255199, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999255368, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999255449, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999256071, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999256401, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999256659, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999256812, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999256924, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999257237, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999257356, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999257602, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999257951, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999257999, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999258372, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999258565, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999258757, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999258992, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999259648, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999260156, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999260842, student=Colega, exam=prova1)
[mouse] null (code=0, x=5, y=1, time=1762999261042, student=Colega, exam=prova1)
