[focus] null (code=0, x=0, y=0, time=1763000501337, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000501341, student=isac, exam=prova1)
[mouse] null (code=0, x=483, y=26, time=1763000501343, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000501342, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000501342, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000501341, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000501340, student=isac, exam=prova1)
[mouse] null (code=0, x=692, y=159, time=1763000502212, student=isac, exam=prova1)
[mouse] null (code=0, x=691, y=159, time=1763000502877, student=isac, exam=prova1)
[mouse] null (code=0, x=691, y=159, time=1763000503795, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512878, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512883, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512884, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512886, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512886, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512888, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512888, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512889, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512889, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000512890, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519305, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519314, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519316, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519318, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519318, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519324, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519325, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519326, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519327, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519327, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519329, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519331, student=isac, exam=prova1)
[keyboard] null (code=65536, x=0, y=0, time=1763000519917, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000519990, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520004, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520005, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520007, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520008, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520008, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520009, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520009, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520010, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520011, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520024, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000520034, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527573, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527574, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527581, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527577, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527575, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527582, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527585, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527567, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527584, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527586, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527588, student=isac, exam=prova1)
[focus] null (code=0, x=0, y=0, time=1763000527587, student=isac, exam=prova1)
[keyboard] null (code=65536, x=0, y=0, time=1763000528239, student=isac, exam=prova1)
