[mouse] MOUSE (code=0, x=338, y=254, time=1764261773719, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=429, y=286, time=1764261774756, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=467, y=284, time=1764261775785, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261780145, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261789205, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=467, y=334, time=1764261789744, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=470, y=319, time=1764261790094, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=470, y=319, time=1764261790304, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764261790386, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261790483, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261793161, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=410, y=173, time=1764261793424, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=410, y=173, time=1764261793683, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764261793760, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261793860, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261796763, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=290, y=125, time=1764261799585, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=302, y=126, time=1764261800237, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=302, y=126, time=1764261800864, student=koko, exam=prova1)
[mouse] MOUSE (code=0, x=160, y=346, time=1764261804617, student=koko, exam=prova1)
[keyboard] ENTER (code=13, x=0, y=0, time=1764261805153, student=koko, exam=prova1)
[keyboard] ENTER (code=13, x=0, y=0, time=1764261805273, student=koko, exam=prova1)
[keyboard] ENTER (code=13, x=0, y=0, time=1764261805417, student=koko, exam=prova1)
[keyboard] ENTER (code=13, x=0, y=0, time=1764261805576, student=koko, exam=prova1)
[keyboard] a (code=97, x=0, y=0, time=1764261805982, student=koko, exam=prova1)
[keyboard] s (code=115, x=0, y=0, time=1764261806585, student=koko, exam=prova1)
[keyboard] d (code=100, x=0, y=0, time=1764261806720, student=koko, exam=prova1)
[keyboard] a (code=97, x=0, y=0, time=1764261806987, student=koko, exam=prova1)
[keyboard] s (code=115, x=0, y=0, time=1764261807285, student=koko, exam=prova1)
[keyboard] a (code=97, x=0, y=0, time=1764261807325, student=koko, exam=prova1)
[keyboard] d (code=100, x=0, y=0, time=1764261807438, student=koko, exam=prova1)
[keyboard] a (code=97, x=0, y=0, time=1764261807615, student=koko, exam=prova1)
[keyboard] s (code=115, x=0, y=0, time=1764261807636, student=koko, exam=prova1)
[keyboard] d (code=100, x=0, y=0, time=1764261807791, student=koko, exam=prova1)
[keyboard] d (code=100, x=0, y=0, time=1764261808185, student=koko, exam=prova1)
[keyboard] a (code=97, x=0, y=0, time=1764261808320, student=koko, exam=prova1)
[keyboard] s (code=115, x=0, y=0, time=1764261808357, student=koko, exam=prova1)
[keyboard] d (code=100, x=0, y=0, time=1764261808496, student=koko, exam=prova1)
[keyboard] a (code=97, x=0, y=0, time=1764261808612, student=koko, exam=prova1)
[keyboard] s (code=115, x=0, y=0, time=1764261808624, student=koko, exam=prova1)
[keyboard] d (code=100, x=0, y=0, time=1764261808725, student=koko, exam=prova1)
[keyboard] a (code=97, x=0, y=0, time=1764261808855, student=koko, exam=prova1)
[keyboard] s (code=115, x=0, y=0, time=1764261808887, student=koko, exam=prova1)
[keyboard] d (code=100, x=0, y=0, time=1764261808969, student=koko, exam=prova1)
[keyboard] a (code=97, x=0, y=0, time=1764261809082, student=koko, exam=prova1)
[keyboard] s (code=115, x=0, y=0, time=1764261809102, student=koko, exam=prova1)
[keyboard] d (code=100, x=0, y=0, time=1764261809218, student=koko, exam=prova1)
[keyboard] CAPS_LOCK (code=16777298, x=0, y=0, time=1764261809960, student=koko, exam=prova1)
[keyboard] A (code=97, x=0, y=0, time=1764261810329, student=koko, exam=prova1)
[keyboard] S (code=115, x=0, y=0, time=1764261810365, student=koko, exam=prova1)
[keyboard] D (code=100, x=0, y=0, time=1764261810487, student=koko, exam=prova1)
[keyboard] A (code=97, x=0, y=0, time=1764261810622, student=koko, exam=prova1)
[keyboard] D (code=100, x=0, y=0, time=1764261810637, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261812090, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261812744, student=koko, exam=prova1)
[keyboard] A (code=97, x=0, y=0, time=1764261813616, student=koko, exam=prova1)
[keyboard] D (code=100, x=0, y=0, time=1764261813832, student=koko, exam=prova1)
[keyboard] S (code=115, x=0, y=0, time=1764261814001, student=koko, exam=prova1)
[keyboard]   (code=32, x=0, y=0, time=1764261814294, student=koko, exam=prova1)
[keyboard] TAB (code=9, x=0, y=0, time=1764261814746, student=koko, exam=prova1)
[keyboard] S (code=115, x=0, y=0, time=1764261815926, student=koko, exam=prova1)
[keyboard] E (code=101, x=0, y=0, time=1764261815978, student=koko, exam=prova1)
[keyboard] F (code=102, x=0, y=0, time=1764261816073, student=koko, exam=prova1)
[keyboard]   (code=32, x=0, y=0, time=1764261816269, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261820447, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261823382, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764261844040, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261844175, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261846544, student=koko, exam=prova1)
[keyboard] ALT (code=65536, x=0, y=0, time=1764261847065, student=koko, exam=prova1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1764261847246, student=koko, exam=prova1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1764261848028, student=koko, exam=prova1)
