[keyboard] q (code=113, x=0, y=0, time=1766102634250, student=qqwewq, exam=qeqeq)
[mouse] MOUSE (code=0, x=9, y=15, time=1766102634459, student=qqwewq, exam=qeqeq)
[mouse] MOUSE (code=0, x=162, y=333, time=1766102632855, student=qqwewq, exam=qeqeq)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1766102633039, student=qqwewq, exam=qeqeq)
[keyboard] e (code=101, x=0, y=0, time=1766102634075, student=qqwewq, exam=qeqeq)
[keyboard] w (code=119, x=0, y=0, time=1766102634034, student=qqwewq, exam=qeqeq)
[keyboard] e (code=101, x=0, y=0, time=1766102634295, student=qqwewq, exam=qeqeq)
[keyboard] q (code=113, x=0, y=0, time=1766102634005, student=qqwewq, exam=qeqeq)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1766102632298, student=qqwewq, exam=qeqeq)
[keyboard] w (code=119, x=0, y=0, time=1766102634239, student=qqwewq, exam=qeqeq)
[keyboard] q (code=113, x=0, y=0, time=1766102635292, student=qqwewq, exam=qeqeq)
[keyboard] q (code=113, x=0, y=0, time=1766102635493, student=qqwewq, exam=qeqeq)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1766102634571, student=qqwewq, exam=qeqeq)
[keyboard] e (code=101, x=0, y=0, time=1766102635566, student=qqwewq, exam=qeqeq)
[keyboard] e (code=101, x=0, y=0, time=1766102635388, student=qqwewq, exam=qeqeq)
[keyboard] w (code=119, x=0, y=0, time=1766102635322, student=qqwewq, exam=qeqeq)
[mouse] MOUSE (code=0, x=14, y=12, time=1766102635729, student=qqwewq, exam=qeqeq)
[keyboard] w (code=119, x=0, y=0, time=1766102635504, student=qqwewq, exam=qeqeq)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1766102635854, student=qqwewq, exam=qeqeq)
[mouse] MOUSE (code=0, x=67, y=9, time=1766102637458, student=qqwewq, exam=qeqeq)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1766102637588, student=qqwewq, exam=qeqeq)
[mouse] MOUSE (code=0, x=121, y=270, time=1766102638394, student=qqwewq, exam=qeqeq)
[keyboard] c (code=99, x=0, y=0, time=1766102640736, student=qqwewq, exam=qeqeq)
[keyboard] ESC (code=27, x=0, y=0, time=1766102642237, student=qqwewq, exam=qeqeq)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1766102643438, student=qqwewq, exam=qeqeq)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1766104050450, student=qqwewq, exam=qeqeq)
[keyboard] F4 (code=16777229, x=0, y=0, time=1766104051101, student=qqwewq, exam=qeqeq)
[mouse] MOUSE (code=0, x=72, y=333, time=1766104052298, student=qqwewq, exam=qeqeq)
[keyboard] F4 (code=16777229, x=0, y=0, time=1766104052758, student=qqwewq, exam=qeqeq)
