[mouse] MOUSE (code=0, x=62, y=0, time=1763084912852, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084912848, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084913836, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=184, y=75, time=1763084913839, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084914113, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=184, y=75, time=1763084914712, student=qwe, exam=qwe)
[keyboard] q (code=113, x=0, y=0, time=1763084915069, student=qwe, exam=qwe)
[keyboard] w (code=119, x=0, y=0, time=1763084915137, student=qwe, exam=qwe)
[keyboard] e (code=101, x=0, y=0, time=1763084915362, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=184, y=75, time=1763084915593, student=qwe, exam=qwe)
[keyboard] w (code=119, x=0, y=0, time=1763084915850, student=qwe, exam=qwe)
[keyboard] e (code=101, x=0, y=0, time=1763084915866, student=qwe, exam=qwe)
[keyboard] q (code=113, x=0, y=0, time=1763084915877, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=184, y=75, time=1763084916090, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=184, y=75, time=1763084916109, student=qwe, exam=qwe)
[keyboard] ALT (code=65536, x=0, y=0, time=1763084916829, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084916922, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084923412, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=616, y=262, time=1763084923442, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084924084, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=376, y=254, time=1763084924086, student=qwe, exam=qwe)
[keyboard] a (code=97, x=0, y=0, time=1763084924312, student=qwe, exam=qwe)
[keyboard] s (code=115, x=0, y=0, time=1763084924413, student=qwe, exam=qwe)
[keyboard] d (code=100, x=0, y=0, time=1763084924679, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=370, y=255, time=1763084924922, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084925103, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084926079, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084927486, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=511, y=260, time=1763084927521, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084927971, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084928514, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=142, y=331, time=1763084928516, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=142, y=331, time=1763084928593, student=qwe, exam=qwe)
[keyboard] ALT (code=65536, x=0, y=0, time=1763084929439, student=qwe, exam=qwe)
[keyboard] ALT (code=65536, x=0, y=0, time=1763084931398, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084931939, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084933982, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084935045, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084935973, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084936423, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084936703, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084937225, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084937508, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084937719, student=qwe, exam=qwe)
[keyboard]   (code=32, x=0, y=0, time=1763084937914, student=qwe, exam=qwe)
[keyboard] e (code=101, x=0, y=0, time=1763084938387, student=qwe, exam=qwe)
[keyboard] q (code=113, x=0, y=0, time=1763084938781, student=qwe, exam=qwe)
[keyboard] d (code=100, x=0, y=0, time=1763084938962, student=qwe, exam=qwe)
[keyboard] q (code=113, x=0, y=0, time=1763084939073, student=qwe, exam=qwe)
[keyboard] w (code=119, x=0, y=0, time=1763084939093, student=qwe, exam=qwe)
[keyboard] i (code=105, x=0, y=0, time=1763084939346, student=qwe, exam=qwe)
[keyboard] o (code=111, x=0, y=0, time=1763084939373, student=qwe, exam=qwe)
[keyboard] h (code=104, x=0, y=0, time=1763084939425, student=qwe, exam=qwe)
[keyboard] h (code=104, x=0, y=0, time=1763084939693, student=qwe, exam=qwe)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763084940009, student=qwe, exam=qwe)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763084940843, student=qwe, exam=qwe)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763084941292, student=qwe, exam=qwe)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763084941480, student=qwe, exam=qwe)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763084941660, student=qwe, exam=qwe)
[keyboard] CTRL (code=262144, x=0, y=0, time=1763084941833, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084942122, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084942581, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084943453, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084944759, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084945708, student=qwe, exam=qwe)
[mouse] MOUSE (code=0, x=127, y=241, time=1763084945710, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084946063, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084946757, student=qwe, exam=qwe)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763084947455, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084948101, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084948601, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084949028, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084950094, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084950479, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084950726, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084950934, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084951126, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084951327, student=qwe, exam=qwe)
[keyboard] TAB (code=9, x=0, y=0, time=1763084951516, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084951709, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084951872, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084952057, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084952239, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084954130, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084954490, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084954690, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084954868, student=qwe, exam=qwe)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763084955047, student=qwe, exam=qwe)
