[vision] MOTION_DETECTED (code=0, x=0, y=0, time=1765475183083, student=s, exam=s)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765475184077, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475183012, student=s, exam=s)
[vision] OLHANDO_DIREITA (code=0, x=0, y=0, time=1765475184726, student=s, exam=s)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765475185543, student=s, exam=s)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765475187226, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475187890, student=s, exam=s)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765475188038, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475189000, student=s, exam=s)
[vision] OLHANDO_ESQUERDA (code=0, x=0, y=0, time=1765475222404, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475222591, student=s, exam=s)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765475223066, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475223558, student=s, exam=s)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765475246184, student=s, exam=s)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765475249579, student=s, exam=s)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765475249975, student=s, exam=s)
[vision] NO_FACE_LONG (code=0, x=0, y=0, time=1765475252218, student=s, exam=s)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765475252442, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475253424, student=s, exam=s)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765475255089, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475255304, student=s, exam=s)
[vision] OLHANDO_PARA_BAIXO (code=0, x=0, y=0, time=1765475255421, student=s, exam=s)
[vision] DETECTADO_CENTRO (code=0, x=0, y=0, time=1765475256197, student=s, exam=s)
