[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076863542, student=tagarela, exam=teste1)
[mouse] null (code=0, x=654, y=266, time=1763076863551, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076863547, student=tagarela, exam=teste1)
[mouse] null (code=0, x=521, y=172, time=1763076867237, student=tagarela, exam=teste1)
[mouse] null (code=0, x=525, y=166, time=1763076868090, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076872911, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076892241, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076892266, student=tagarela, exam=teste1)
[mouse] null (code=0, x=456, y=78, time=1763076892278, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076915481, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076915484, student=tagarela, exam=teste1)
[mouse] null (code=0, x=63, y=7, time=1763076915488, student=tagarela, exam=teste1)
[mouse] null (code=0, x=63, y=7, time=1763076915768, student=tagarela, exam=teste1)
[mouse] null (code=0, x=63, y=7, time=1763076915928, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076916465, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076916649, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076916790, student=tagarela, exam=teste1)
[keyboard] null (code=32, x=0, y=0, time=1763076916927, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076935368, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076937527, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076937552, student=tagarela, exam=teste1)
[mouse] null (code=0, x=576, y=262, time=1763076937561, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076941887, student=tagarela, exam=teste1)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763076954546, student=tagarela, exam=teste1)
[mouse] null (code=0, x=195, y=88, time=1763076954585, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076954576, student=tagarela, exam=teste1)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763076955146, student=tagarela, exam=teste1)
[mouse] null (code=0, x=195, y=88, time=1763076955148, student=tagarela, exam=teste1)
