[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783515716, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783515956, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783516975, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783517233, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783517314, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783517523, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783517883, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783517939, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783518056, student=zxczxc, exam=zxczxcz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783518395, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783518501, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783518598, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783519297, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783519383, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783519756, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783519864, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783520055, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783520150, student=zxczxc, exam=zxczxcz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783520983, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783521079, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783521277, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783521544, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783521918, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783522514, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783522618, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783523183, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783523291, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783524259, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783524360, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783524483, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783524590, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783524693, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783524857, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783525037, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783525220, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783525390, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783525855, student=zxczxc, exam=zxczxcz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783526008, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783527101, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783528210, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783528415, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783528528, student=zxczxc, exam=zxczxcz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783528621, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783529691, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783530636, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783530734, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783530825, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783530915, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783531520, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783531693, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783531780, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783532027, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783532121, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783532196, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783532275, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783532437, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783532599, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783532678, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783532756, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783532920, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783533008, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783533165, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783533253, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783533413, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783533573, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783534414, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783535366, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783535455, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783535771, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783536659, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783536781, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783537827, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783538841, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783539791, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783540061, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783540153, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783541247, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783541946, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783542136, student=zxczxc, exam=zxczxcz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766783542610, student=zxczxc, exam=zxczxcz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766783542702, student=zxczxc, exam=zxczxcz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcz)
