[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780003254, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780004361, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780005409, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780006423, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780006487, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780006548, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780006981, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780007045, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780007151, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780007429, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780007596, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780008082, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780009096, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780010168, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780011215, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780011763, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780011876, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780012912, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780013951, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780014380, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780014497, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780015498, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780015665, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780015775, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780016823, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780017852, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780018272, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780018359, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1766780018842, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780018929, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780019938, student=zxz, exam=zxxz)
[vision] ROSTO_DIREITA (code=0, x=0, y=0, time=1766780020030, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780020121, student=zxz, exam=zxxz)
[vision] ROSTO_DIREITA (code=0, x=0, y=0, time=1766780020213, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780020431, student=zxz, exam=zxxz)
[vision] ROSTO_DIREITA (code=0, x=0, y=0, time=1766780020636, student=zxz, exam=zxxz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1766780020729, student=zxz, exam=zxxz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxz, exam=zxxz)
[vision] ROSTO_DIREITA (code=0, x=0, y=0, time=1766780021664, student=zxz, exam=zxxz)
