[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035896962, student=asd, exam=zzzzz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035897982, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035899039, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035900086, student=asd, exam=zzzzz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035901130, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035902167, student=asd, exam=zzzzz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035903168, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035904203, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035905268, student=asd, exam=zzzzz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035906286, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035907288, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035908299, student=asd, exam=zzzzz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1767035909087, student=asd, exam=zzzzz)
[vision_frame] null (code=0, x=0, y=0, time=0, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035909217, student=asd, exam=zzzzz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1767035909271, student=asd, exam=zzzzz)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=1767035909460, student=asd, exam=zzzzz)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=1767035909709, student=asd, exam=zzzzz)
